2023-09-04 17:56:34,326 INFO    MainThread:2631920 [wandb_setup.py:_flush():76] Current SDK version is 0.15.9
2023-09-04 17:56:34,327 INFO    MainThread:2631920 [wandb_setup.py:_flush():76] Configure stats pid to 2631920
2023-09-04 17:56:34,327 INFO    MainThread:2631920 [wandb_setup.py:_flush():76] Loading settings from /nethome/pputta7/.config/wandb/settings
2023-09-04 17:56:34,327 INFO    MainThread:2631920 [wandb_setup.py:_flush():76] Loading settings from /coc/testnvme/pputta7/projects/lm-nav/wandb/settings
2023-09-04 17:56:34,327 INFO    MainThread:2631920 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-09-04 17:56:34,327 INFO    MainThread:2631920 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-09-04 17:56:34,327 INFO    MainThread:2631920 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'lmnav/bc_train.py', 'program': '/coc/testnvme/pputta7/projects/lm-nav/lmnav/bc_train.py'}
2023-09-04 17:56:34,327 INFO    MainThread:2631920 [wandb_init.py:_log_setup():524] Logging user logs to /coc/testnvme/pputta7/projects/lm-nav/wandb/run-20230904_175634-bv23g12f/logs/debug.log
2023-09-04 17:56:34,327 INFO    MainThread:2631920 [wandb_init.py:_log_setup():525] Logging internal logs to /coc/testnvme/pputta7/projects/lm-nav/wandb/run-20230904_175634-bv23g12f/logs/debug-internal.log
2023-09-04 17:56:34,327 INFO    MainThread:2631920 [wandb_init.py:init():564] calling init triggers
2023-09-04 17:56:34,327 INFO    MainThread:2631920 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
